時間,邏輯點,模塊01,二維碼
15:27:53.6695,,0,A001B002C003D004
15:27:53.9805,,0,A001B002C003D004
15:27:54.2908,,0,A001B002C003D004
15:27:54.6029,,0,A001B002C003D004
15:27:54.9152,壓合開始,1,A001B002C003D004
15:27:55.2264,,1,A001B002C003D004
15:27:55.5392,,2,A001B002C003D004
15:27:55.8536,,3,A001B002C003D004
15:27:56.1651,,3,A001B002C003D004
15:27:56.4763,,4,A001B002C003D004
15:27:56.7901,,5,A001B002C003D004
15:27:57.1048,,5,A001B002C003D004
15:27:57.4160,,6,A001B002C003D004
15:27:57.7277,,6,A001B002C003D004
15:27:58.0412,,7,A001B002C003D004
15:27:58.3527,,8,A001B002C003D004
15:27:58.6646,,8,A001B002C003D004
15:27:58.9771,,9,A001B002C003D004
15:27:59.2914,壓力到達,10,A001B002C003D004
15:27:59.6035,,10,A001B002C003D004
15:27:59.9151,,10,A001B002C003D004
15:28:00.2281,,10,A001B002C003D004
15:28:00.5394,,10,A001B002C003D004
15:28:00.8512,,10,A001B002C003D004
15:28:01.1663,,10,A001B002C003D004
15:28:01.4779,,10,A001B002C003D004
15:28:01.7892,,10,A001B002C003D004
15:28:02.1036,,10,A001B002C003D004
15:28:02.4146,,10,A001B002C003D004
15:28:02.7263,,10,A001B002C003D004
15:28:03.0407,,10,A001B002C003D004
15:28:03.3536,,10,A001B002C003D004
15:28:03.6658,,10,A001B002C003D004
15:28:03.9763,,10,A001B002C003D004
15:28:04.2919,,10,A001B002C003D004
15:28:04.6042,,10,A001B002C003D004
15:28:04.9158,,10,A001B002C003D004
15:28:05.2265,,10,A001B002C003D004
15:28:05.5407,,10,A001B002C003D004
15:28:05.8519,,10,A001B002C003D004
15:28:06.1669,,10,A001B002C003D004
15:28:06.4791,,10,A001B002C003D004
15:28:06.7905,,10,A001B002C003D004
15:28:07.1026,,10,A001B002C003D004
15:28:07.4170,保壓時間到達,10,A001B002C003D004
15:28:07.7280,,10,A001B002C003D004
15:28:08.0412,,10,A001B002C003D004
15:28:08.3527,,9,A001B002C003D004
15:28:08.6639,,9,A001B002C003D004
15:28:08.9764,,8,A001B002C003D004
15:28:09.2890,,7,A001B002C003D004
15:28:09.6029,,7,A001B002C003D004
15:28:09.9149,,6,A001B002C003D004
15:28:10.2274,,6,A001B002C003D004
15:28:10.5389,,5,A001B002C003D004
15:28:10.8552,,4,A001B002C003D004
15:28:11.1637,,4,A001B002C003D004
15:28:11.4791,,3,A001B002C003D004
15:28:11.7899,,2,A001B002C003D004
15:28:12.1031,,2,A001B002C003D004
15:28:12.4136,,1,A001B002C003D004
15:28:12.7280,,1,A001B002C003D004
15:28:13.0411,壓合已結束,0,A001B002C003D004
