時間,邏輯點,模塊01,二維碼
15:27:03.8880,,-2,A001B002C003D004
15:27:04.1958,,-3,A001B002C003D004
15:27:04.5079,,-2,A001B002C003D004
15:27:04.8237,,-2,A001B002C003D004
15:27:05.1323,,-1,A001B002C003D004
15:27:05.4472,,-1,A001B002C003D004
15:27:05.7596,,0,A001B002C003D004
15:27:06.0742,壓合開始,1,A001B002C003D004
15:27:06.3851,,1,A001B002C003D004
15:27:06.6949,,2,A001B002C003D004
15:27:07.0109,,3,A001B002C003D004
15:27:07.3202,,3,A001B002C003D004
15:27:07.6338,,4,A001B002C003D004
15:27:07.9484,,4,A001B002C003D004
15:27:08.2602,,5,A001B002C003D004
15:27:08.5701,,6,A001B002C003D004
15:27:08.8858,,6,A001B002C003D004
15:27:09.1974,,7,A001B002C003D004
15:27:09.5096,,8,A001B002C003D004
15:27:09.8234,,8,A001B002C003D004
15:27:10.1355,,9,A001B002C003D004
15:27:10.4456,,9,A001B002C003D004
15:27:10.7604,壓力到達,10,A001B002C003D004
15:27:11.0714,,10,A001B002C003D004
15:27:11.3835,,10,A001B002C003D004
15:27:11.6987,,10,A001B002C003D004
15:27:12.0104,,10,A001B002C003D004
15:27:12.3244,,10,A001B002C003D004
15:27:12.6351,,10,A001B002C003D004
15:27:12.9452,,10,A001B002C003D004
15:27:13.2572,,10,A001B002C003D004
15:27:13.5729,,10,A001B002C003D004
15:27:13.8850,,10,A001B002C003D004
15:27:14.1963,,10,A001B002C003D004
15:27:14.5085,,10,A001B002C003D004
15:27:14.8238,,10,A001B002C003D004
15:27:15.1330,,10,A001B002C003D004
15:27:15.4503,,10,A001B002C003D004
15:27:15.7591,,10,A001B002C003D004
15:27:16.0704,,10,A001B002C003D004
15:27:16.3853,,10,A001B002C003D004
15:27:16.6967,,10,A001B002C003D004
15:27:17.0096,,10,A001B002C003D004
15:27:17.3212,,10,A001B002C003D004
15:27:17.6353,,10,A001B002C003D004
15:27:17.9455,,10,A001B002C003D004
15:27:18.2604,,10,A001B002C003D004
15:27:18.5702,,10,A001B002C003D004
15:27:18.8860,保壓時間到達,10,A001B002C003D004
15:27:19.1959,,10,A001B002C003D004
15:27:19.5073,,10,A001B002C003D004
15:27:19.8215,,10,A001B002C003D004
15:27:20.1335,,9,A001B002C003D004
15:27:20.4470,,9,A001B002C003D004
15:27:20.7586,,8,A001B002C003D004
15:27:21.0732,,7,A001B002C003D004
15:27:21.3854,,7,A001B002C003D004
15:27:21.6962,,6,A001B002C003D004
15:27:22.0078,,5,A001B002C003D004
15:27:22.3231,,5,A001B002C003D004
15:27:22.6343,,4,A001B002C003D004
15:27:22.9475,,3,A001B002C003D004
15:27:23.2580,,3,A001B002C003D004
15:27:23.5716,,2,A001B002C003D004
15:27:23.8822,,2,A001B002C003D004
15:27:24.1965,,1,A001B002C003D004
15:27:24.5083,壓合已結束,0,A001B002C003D004
