時間,邏輯點,模塊01,二維碼
15:43:52.4846,,0,A001B002C003D004
15:43:52.7919,壓合開始,1,A001B002C003D004
15:43:52.9612,,1,A001B002C003D004
15:43:53.2707,,2,A001B002C003D004
15:43:53.7367,,3,A001B002C003D004
15:43:54.0511,,3,A001B002C003D004
15:43:54.2188,,4,A001B002C003D004
15:43:54.5297,,4,A001B002C003D004
15:43:54.9973,,5,A001B002C003D004
15:43:55.3082,,6,A001B002C003D004
15:43:55.4788,,6,A001B002C003D004
15:43:55.7897,,7,A001B002C003D004
15:43:56.2573,,8,A001B002C003D004
15:43:56.5673,,8,A001B002C003D004
15:43:56.7359,,9,A001B002C003D004
15:43:57.0474,,9,A001B002C003D004
15:43:57.5154,壓力到達,10,A001B002C003D004
15:43:57.8280,,10,A001B002C003D004
15:43:57.9953,,10,A001B002C003D004
15:43:58.3100,,10,A001B002C003D004
15:43:58.7761,,10,A001B002C003D004
15:43:59.0868,,10,A001B002C003D004
15:43:59.2561,,10,A001B002C003D004
15:43:59.5669,,10,A001B002C003D004
15:44:00.0347,,10,A001B002C003D004
15:44:00.3461,,10,A001B002C003D004
15:44:00.5156,,10,A001B002C003D004
15:44:00.8264,,10,A001B002C003D004
15:44:01.2931,,10,A001B002C003D004
15:44:01.6046,,10,A001B002C003D004
15:44:01.7744,,10,A001B002C003D004
15:44:02.0847,,10,A001B002C003D004
15:44:02.5534,,10,A001B002C003D004
15:44:02.8682,,10,A001B002C003D004
15:44:03.0354,,10,A001B002C003D004
15:44:03.3480,,10,A001B002C003D004
15:44:03.8138,,10,A001B002C003D004
15:44:04.1271,,10,A001B002C003D004
15:44:04.2953,,10,A001B002C003D004
15:44:04.6063,,10,A001B002C003D004
15:44:05.0740,,10,A001B002C003D004
15:44:05.3834,,10,A001B002C003D004
15:44:05.5530,保壓時間到達,10,A001B002C003D004
15:44:05.8655,,10,A001B002C003D004
15:44:06.3327,,10,A001B002C003D004
15:44:06.6435,,10,A001B002C003D004
15:44:06.8127,,9,A001B002C003D004
15:44:07.1261,,9,A001B002C003D004
15:44:07.2939,,8,A001B002C003D004
15:44:07.6030,,8,A001B002C003D004
15:44:08.0718,,7,A001B002C003D004
15:44:08.3840,,6,A001B002C003D004
15:44:08.5514,,6,A001B002C003D004
15:44:08.8626,,5,A001B002C003D004
15:44:09.3301,,4,A001B002C003D004
15:44:09.6442,,4,A001B002C003D004
15:44:09.8116,,3,A001B002C003D004
15:44:10.1221,,3,A001B002C003D004
15:44:10.5939,,2,A001B002C003D004
15:44:10.9052,,1,A001B002C003D004
15:44:11.0724,,1,A001B002C003D004
15:44:11.3825,壓合已結束,0,A001B002C003D004
