時間,邏輯點,模塊01,二維碼
14:45:00.8717,,-2,A001B002C003D004
14:45:01.1814,,-3,A001B002C003D004
14:45:01.4963,,-2,A001B002C003D004
14:45:01.8052,,-2,A001B002C003D004
14:45:02.1173,,-1,A001B002C003D004
14:45:02.4317,,0,A001B002C003D004
14:45:02.7432,,0,A001B002C003D004
14:45:03.0544,壓合開始,1,A001B002C003D004
14:45:03.3669,,1,A001B002C003D004
14:45:03.6795,,2,A001B002C003D004
14:45:03.9937,,3,A001B002C003D004
14:45:04.3071,,3,A001B002C003D004
14:45:04.6177,,4,A001B002C003D004
14:45:04.9322,,5,A001B002C003D004
14:45:05.2438,,5,A001B002C003D004
14:45:05.5557,,6,A001B002C003D004
14:45:05.8703,,6,A001B002C003D004
14:45:06.1808,,7,A001B002C003D004
14:45:06.4927,,8,A001B002C003D004
14:45:06.8070,,8,A001B002C003D004
14:45:07.1182,,9,A001B002C003D004
14:45:07.4318,壓力到達,10,A001B002C003D004
14:45:07.7430,,10,A001B002C003D004
14:45:08.0543,,11,A001B002C003D004
14:45:08.3696,,11,A001B002C003D004
14:45:08.6822,,12,A001B002C003D004
14:45:08.9938,,13,A001B002C003D004
14:45:09.3068,,13,A001B002C003D004
14:45:09.6175,,12,A001B002C003D004
14:45:09.9320,,11,A001B002C003D004
14:45:10.2436,,11,A001B002C003D004
14:45:10.5561,,12,A001B002C003D004
14:45:10.8685,,12,A001B002C003D004
14:45:11.1807,,11,A001B002C003D004
14:45:11.4920,,12,A001B002C003D004
14:45:11.8073,,12,A001B002C003D004
14:45:12.1180,,11,A001B002C003D004
14:45:12.4299,,10,A001B002C003D004
14:45:12.7445,,10,A001B002C003D004
14:45:13.0565,,11,A001B002C003D004
14:45:13.3687,,11,A001B002C003D004
14:45:13.6799,,12,A001B002C003D004
14:45:13.9939,,13,A001B002C003D004
14:45:14.3066,,13,A001B002C003D004
14:45:14.6188,,12,A001B002C003D004
14:45:14.9321,,11,A001B002C003D004
14:45:15.2435,,11,A001B002C003D004
14:45:15.5554,保壓時間到達,10,A001B002C003D004
14:45:15.8670,,10,A001B002C003D004
14:45:16.1821,,9,A001B002C003D004
14:45:16.4953,,8,A001B002C003D004
14:45:16.8071,,8,A001B002C003D004
14:45:17.1184,,7,A001B002C003D004
14:45:17.4330,,6,A001B002C003D004
14:45:17.7443,,6,A001B002C003D004
14:45:18.0556,,5,A001B002C003D004
14:45:18.3675,,5,A001B002C003D004
14:45:18.6792,,4,A001B002C003D004
14:45:18.9919,,3,A001B002C003D004
14:45:19.3056,,3,A001B002C003D004
14:45:19.6176,,2,A001B002C003D004
14:45:19.9318,,2,A001B002C003D004
14:45:20.2429,,1,A001B002C003D004
14:45:20.5544,壓合已結束,0,A001B002C003D004
