??,???,模?01,二??
14:22:15.9498,,-2,A001B002C003D004
14:22:16.2590,,-3,A001B002C003D004
14:22:16.5735,,-2,A001B002C003D004
14:22:16.8852,,-2,A001B002C003D004
14:22:17.1954,,-1,A001B002C003D004
14:22:17.5078,,-1,A001B002C003D004
14:22:17.8227,,0,A001B002C003D004
14:22:18.1328,壓合開始,1,A001B002C003D004
14:22:18.4469,,1,A001B002C003D004
14:22:18.7589,,2,A001B002C003D004
14:22:19.0739,,3,A001B002C003D004
14:22:19.3858,,3,A001B002C003D004
14:22:19.6969,,4,A001B002C003D004
14:22:20.0090,,4,A001B002C003D004
14:22:20.3197,,5,A001B002C003D004
14:22:20.6358,,6,A001B002C003D004
14:22:20.9454,,6,A001B002C003D004
14:22:21.2599,,7,A001B002C003D004
14:22:21.5740,,8,A001B002C003D004
14:22:21.8858,,8,A001B002C003D004
14:22:22.1965,,9,A001B002C003D004
14:22:22.5082,,9,A001B002C003D004
14:22:22.8235,壓力到達,10,A001B002C003D004
14:22:23.1342,,11,A001B002C003D004
14:22:23.4495,,11,A001B002C003D004
14:22:23.7605,,12,A001B002C003D004
14:22:24.0737,,11,A001B002C003D004
14:22:24.3855,,11,A001B002C003D004
14:22:24.6959,,12,A001B002C003D004
14:22:25.0078,,12,A001B002C003D004
14:22:25.3229,,11,A001B002C003D004
14:22:25.6347,,12,A001B002C003D004
14:22:25.9450,,12,A001B002C003D004
14:22:26.2577,,11,A001B002C003D004
14:22:26.5734,,12,A001B002C003D004
14:22:26.8854,,12,A001B002C003D004
14:22:27.1949,,11,A001B002C003D004
14:22:27.5091,,11,A001B002C003D004
14:22:27.8234,,12,A001B002C003D004
14:22:28.1322,,11,A001B002C003D004
14:22:28.4463,,11,A001B002C003D004
14:22:28.7585,,12,A001B002C003D004
14:22:29.0740,,13,A001B002C003D004
14:22:29.3860,,13,A001B002C003D004
14:22:29.6955,,12,A001B002C003D004
14:22:30.0078,,12,A001B002C003D004
14:22:30.3231,,11,A001B002C003D004
14:22:30.6349,,10,A001B002C003D004
14:22:30.9456,保壓時間到達,10,A001B002C003D004
14:22:31.2577,,11,A001B002C003D004
14:22:31.5729,,10,A001B002C003D004
14:22:31.8828,,10,A001B002C003D004
14:22:32.1960,,11,A001B002C003D004
14:22:32.5102,,11,A001B002C003D004
14:22:32.8201,,10,A001B002C003D004
14:22:33.1324,,9,A001B002C003D004
14:22:33.4476,,9,A001B002C003D004
14:22:33.7600,,8,A001B002C003D004
14:22:34.0734,,7,A001B002C003D004
14:22:34.3848,,7,A001B002C003D004
14:22:34.6949,,6,A001B002C003D004
14:22:35.0095,,6,A001B002C003D004
14:22:35.3240,,5,A001B002C003D004
14:22:35.6352,,4,A001B002C003D004
14:22:35.9452,,4,A001B002C003D004
14:22:36.2597,,3,A001B002C003D004
14:22:36.5707,,2,A001B002C003D004
14:22:36.8832,,2,A001B002C003D004
14:22:37.1967,,1,A001B002C003D004
14:22:37.5096,,1,A001B002C003D004
