時間,邏輯點,模塊01,二維碼
16:58:09.5579,,0,A001B002C003D004
16:58:10.0242,壓合開始,1,A001B002C003D004
16:58:10.3304,,1,A001B002C003D004
16:58:10.5007,,2,A001B002C003D004
16:58:10.8112,,2,A001B002C003D004
16:58:11.2774,,3,A001B002C003D004
16:58:11.5919,,4,A001B002C003D004
16:58:11.7589,,4,A001B002C003D004
16:58:12.0687,,5,A001B002C003D004
16:58:12.5383,,6,A001B002C003D004
16:58:12.8517,,6,A001B002C003D004
16:58:13.0204,,7,A001B002C003D004
16:58:13.3304,,7,A001B002C003D004
16:58:13.7991,,8,A001B002C003D004
16:58:14.1098,,9,A001B002C003D004
16:58:14.2775,,9,A001B002C003D004
16:58:14.5882,壓力到達,10,A001B002C003D004
16:58:15.0566,,10,A001B002C003D004
16:58:15.3685,,10,A001B002C003D004
16:58:15.5378,,10,A001B002C003D004
16:58:15.8488,,10,A001B002C003D004
16:58:16.3158,,10,A001B002C003D004
16:58:16.6268,,10,A001B002C003D004
16:58:16.7995,,10,A001B002C003D004
16:58:17.1091,,10,A001B002C003D004
16:58:17.5757,,10,A001B002C003D004
16:58:17.8906,,10,A001B002C003D004
16:58:18.0577,,10,A001B002C003D004
16:58:18.3694,,10,A001B002C003D004
16:58:18.8357,,10,A001B002C003D004
16:58:19.1468,,10,A001B002C003D004
16:58:19.3156,,10,A001B002C003D004
16:58:19.6262,,10,A001B002C003D004
16:58:20.0964,,10,A001B002C003D004
16:58:20.4064,,10,A001B002C003D004
16:58:20.5767,,10,A001B002C003D004
16:58:20.8873,,10,A001B002C003D004
16:58:21.3564,,10,A001B002C003D004
16:58:21.6663,,10,A001B002C003D004
16:58:21.8344,,10,A001B002C003D004
16:58:22.1446,,10,A001B002C003D004
16:58:22.6166,保壓時間到達,10,A001B002C003D004
16:58:22.9277,,10,A001B002C003D004
16:58:23.0954,,10,A001B002C003D004
16:58:23.4073,,9,A001B002C003D004
16:58:23.5742,,9,A001B002C003D004
16:58:23.8869,,8,A001B002C003D004
16:58:24.3529,,8,A001B002C003D004
16:58:24.6666,,7,A001B002C003D004
16:58:24.8354,,7,A001B002C003D004
16:58:25.1453,,6,A001B002C003D004
16:58:25.6128,,5,A001B002C003D004
16:58:25.9268,,4,A001B002C003D004
16:58:26.0927,,4,A001B002C003D004
16:58:26.4031,,3,A001B002C003D004
16:58:26.8713,,3,A001B002C003D004
16:58:27.1865,,2,A001B002C003D004
16:58:27.3538,,2,A001B002C003D004
16:58:27.6650,,1,A001B002C003D004
16:58:28.1335,壓合已結束,0,A001B002C003D004
