時間,邏輯點,模塊01,二維碼
16:42:41.9951,,1,A001B002C003D004
16:42:42.1590,壓合開始,1,A001B002C003D004
16:42:42.4702,,2,A001B002C003D004
16:42:42.9364,,3,A001B002C003D004
16:42:43.2467,,4,A001B002C003D004
16:42:43.4174,,4,A001B002C003D004
16:42:43.7282,,5,A001B002C003D004
16:42:44.1979,,5,A001B002C003D004
16:42:44.5089,,6,A001B002C003D004
16:42:44.6771,,6,A001B002C003D004
16:42:44.9891,,7,A001B002C003D004
16:42:45.4558,,8,A001B002C003D004
16:42:45.7668,,9,A001B002C003D004
16:42:45.9349,,9,A001B002C003D004
16:42:46.2455,壓力到達,10,A001B002C003D004
16:42:46.7182,,10,A001B002C003D004
16:42:47.0289,,10,A001B002C003D004
16:42:47.1952,,10,A001B002C003D004
16:42:47.5053,,10,A001B002C003D004
16:42:47.9763,,10,A001B002C003D004
16:42:48.2861,,10,A001B002C003D004
16:42:48.4532,,10,A001B002C003D004
16:42:48.7676,,10,A001B002C003D004
16:42:49.2346,,10,A001B002C003D004
16:42:49.5457,,10,A001B002C003D004
16:42:49.7129,,10,A001B002C003D004
16:42:50.0240,,10,A001B002C003D004
16:42:50.4927,,10,A001B002C003D004
16:42:50.8041,,10,A001B002C003D004
16:42:50.9748,,10,A001B002C003D004
16:42:51.2863,,10,A001B002C003D004
16:42:51.7539,,10,A001B002C003D004
16:42:52.0662,,10,A001B002C003D004
16:42:52.2326,,10,A001B002C003D004
16:42:52.5425,,10,A001B002C003D004
16:42:53.0111,,10,A001B002C003D004
16:42:53.3228,,10,A001B002C003D004
16:42:53.4934,,10,A001B002C003D004
16:42:53.8054,,10,A001B002C003D004
16:42:54.2716,保壓時間到達,10,A001B002C003D004
16:42:54.5834,,10,A001B002C003D004
16:42:54.7520,,10,A001B002C003D004
16:42:55.0649,,10,A001B002C003D004
16:42:55.5307,,9,A001B002C003D004
16:42:55.8442,,8,A001B002C003D004
16:42:56.0112,,8,A001B002C003D004
16:42:56.3250,,7,A001B002C003D004
16:42:56.4903,,7,A001B002C003D004
16:42:56.8037,,6,A001B002C003D004
16:42:57.2711,,5,A001B002C003D004
16:42:57.5807,,5,A001B002C003D004
16:42:57.7519,,4,A001B002C003D004
16:42:58.0614,,4,A001B002C003D004
16:42:58.5325,,3,A001B002C003D004
16:42:58.8419,,2,A001B002C003D004
16:42:59.0117,,2,A001B002C003D004
16:42:59.3212,,1,A001B002C003D004
16:42:59.7914,壓合已結束,0,A001B002C003D004
