??,???,模?01,二??
14:27:55.7935,,-2,A001B002C003D004
14:27:56.1048,,-3,A001B002C003D004
14:27:56.4146,,-4,A001B002C003D004
14:27:56.7293,,-4,A001B002C003D004
14:27:57.0408,,-3,A001B002C003D004
14:27:57.3515,,-3,A001B002C003D004
14:27:57.6635,,-2,A001B002C003D004
14:27:57.9765,,-1,A001B002C003D004
14:27:58.2912,,-1,A001B002C003D004
14:27:58.6017,,0,A001B002C003D004
14:27:58.9150,壓合開始,1,A001B002C003D004
14:27:59.2260,,1,A001B002C003D004
14:27:59.5417,,2,A001B002C003D004
14:27:59.8531,,2,A001B002C003D004
14:28:00.1659,,3,A001B002C003D004
14:28:00.4779,,4,A001B002C003D004
14:28:00.7905,,4,A001B002C003D004
14:28:01.1028,,5,A001B002C003D004
14:28:01.4141,,6,A001B002C003D004
14:28:01.7279,,6,A001B002C003D004
14:28:02.0392,,7,A001B002C003D004
14:28:02.3521,,7,A001B002C003D004
14:28:02.6639,,8,A001B002C003D004
14:28:02.9779,,9,A001B002C003D004
14:28:03.2889,,9,A001B002C003D004
14:28:03.6011,壓力到達,10,A001B002C003D004
14:28:03.9140,,11,A001B002C003D004
14:28:04.2289,,11,A001B002C003D004
14:28:04.5406,,12,A001B002C003D004
14:28:04.8526,,12,A001B002C003D004
14:28:05.1672,,11,A001B002C003D004
14:28:05.4784,,12,A001B002C003D004
14:28:05.7910,,12,A001B002C003D004
14:28:06.1026,,11,A001B002C003D004
14:28:06.4189,,12,A001B002C003D004
14:28:06.7274,,12,A001B002C003D004
14:28:07.0402,,11,A001B002C003D004
14:28:07.3528,,12,A001B002C003D004
14:28:07.6653,,12,A001B002C003D004
14:28:07.9767,,11,A001B002C003D004
14:28:08.2901,,11,A001B002C003D004
14:28:08.6038,,12,A001B002C003D004
14:28:08.9152,,11,A001B002C003D004
14:28:09.2276,,11,A001B002C003D004
14:28:09.5397,,12,A001B002C003D004
14:28:09.8519,,12,A001B002C003D004
14:28:10.1664,,11,A001B002C003D004
14:28:10.4783,,12,A001B002C003D004
14:28:10.7894,,12,A001B002C003D004
14:28:11.1022,,11,A001B002C003D004
14:28:11.4145,,12,A001B002C003D004
14:28:11.7290,保壓時間到達,12,A001B002C003D004
14:28:12.0407,,11,A001B002C003D004
14:28:12.3530,,11,A001B002C003D004
14:28:12.6655,,12,A001B002C003D004
14:28:12.9800,,11,A001B002C003D004
14:28:13.2918,,11,A001B002C003D004
14:28:13.6050,,10,A001B002C003D004
14:28:13.9143,,9,A001B002C003D004
14:28:14.2293,,9,A001B002C003D004
14:28:14.5409,,8,A001B002C003D004
14:28:14.8536,,8,A001B002C003D004
14:28:15.1639,,7,A001B002C003D004
14:28:15.4768,,6,A001B002C003D004
14:28:15.7889,,6,A001B002C003D004
14:28:16.1022,,5,A001B002C003D004
14:28:16.4143,,4,A001B002C003D004
14:28:16.7262,,4,A001B002C003D004
14:28:17.0426,,3,A001B002C003D004
14:28:17.3536,,3,A001B002C003D004
14:28:17.6652,,2,A001B002C003D004
14:28:17.9769,,1,A001B002C003D004
14:28:18.2890,,1,A001B002C003D004
14:28:18.6039,壓合已結束,0,A001B002C003D004
