時間,邏輯點,模塊01,二維碼
16:44:30.2259,,0,A001B002C003D004
16:44:30.5326,壓合開始,1,A001B002C003D004
16:44:30.7036,,1,A001B002C003D004
16:44:31.0118,,2,A001B002C003D004
16:44:31.4816,,3,A001B002C003D004
16:44:31.7921,,3,A001B002C003D004
16:44:31.9596,,4,A001B002C003D004
16:44:32.2737,,4,A001B002C003D004
16:44:32.7407,,5,A001B002C003D004
16:44:33.0543,,6,A001B002C003D004
16:44:33.2198,,6,A001B002C003D004
16:44:33.5311,,7,A001B002C003D004
16:44:33.9998,,8,A001B002C003D004
16:44:34.3130,,8,A001B002C003D004
16:44:34.4806,,9,A001B002C003D004
16:44:34.7908,,9,A001B002C003D004
16:44:35.2600,壓力到達,10,A001B002C003D004
16:44:35.5715,,10,A001B002C003D004
16:44:35.7393,,10,A001B002C003D004
16:44:36.0514,,10,A001B002C003D004
16:44:36.5178,,10,A001B002C003D004
16:44:36.8289,,10,A001B002C003D004
16:44:37.0007,,10,A001B002C003D004
16:44:37.3116,,10,A001B002C003D004
16:44:37.7792,,10,A001B002C003D004
16:44:38.0907,,10,A001B002C003D004
16:44:38.2579,,10,A001B002C003D004
16:44:38.5689,,10,A001B002C003D004
16:44:39.0362,,10,A001B002C003D004
16:44:39.3482,,10,A001B002C003D004
16:44:39.5174,,10,A001B002C003D004
16:44:39.8286,,10,A001B002C003D004
16:44:39.9990,,10,A001B002C003D004
16:44:40.3089,,10,A001B002C003D004
16:44:40.7782,,10,A001B002C003D004
16:44:41.0892,,10,A001B002C003D004
16:44:41.2574,,10,A001B002C003D004
16:44:41.5688,,10,A001B002C003D004
16:44:42.0368,,10,A001B002C003D004
16:44:42.3504,,10,A001B002C003D004
16:44:42.5180,,10,A001B002C003D004
16:44:42.8297,,10,A001B002C003D004
16:44:43.2963,保壓時間到達,10,A001B002C003D004
16:44:43.6067,,10,A001B002C003D004
16:44:43.7780,,10,A001B002C003D004
16:44:44.0875,,10,A001B002C003D004
16:44:44.5563,,9,A001B002C003D004
16:44:44.8675,,8,A001B002C003D004
16:44:45.0357,,8,A001B002C003D004
16:44:45.3485,,7,A001B002C003D004
16:44:45.8160,,7,A001B002C003D004
16:44:46.1258,,6,A001B002C003D004
16:44:46.2942,,6,A001B002C003D004
16:44:46.6075,,5,A001B002C003D004
16:44:47.0747,,4,A001B002C003D004
16:44:47.3861,,3,A001B002C003D004
16:44:47.5563,,3,A001B002C003D004
16:44:47.8665,,2,A001B002C003D004
16:44:48.3341,,1,A001B002C003D004
16:44:48.6449,,1,A001B002C003D004
16:44:48.8132,,1,A001B002C003D004
16:44:49.1248,壓合已結束,0,A001B002C003D004
