時間,邏輯點,模塊01,二維碼
15:18:23.1854,,-2,A001B002C003D004
15:18:23.4937,,-3,A001B002C003D004
15:18:23.8053,,-2,A001B002C003D004
15:18:24.1176,,-2,A001B002C003D004
15:18:24.4297,,-1,A001B002C003D004
15:18:24.7441,,-1,A001B002C003D004
15:18:25.0554,,0,A001B002C003D004
15:18:25.3677,壓合開始,1,A001B002C003D004
15:18:25.6825,,1,A001B002C003D004
15:18:25.9940,,2,A001B002C003D004
15:18:26.3056,,3,A001B002C003D004
15:18:26.6173,,3,A001B002C003D004
15:18:26.9325,,4,A001B002C003D004
15:18:27.2437,,4,A001B002C003D004
15:18:27.5552,,5,A001B002C003D004
15:18:27.8694,,6,A001B002C003D004
15:18:28.1809,,6,A001B002C003D004
15:18:28.4926,,7,A001B002C003D004
15:18:28.8050,,8,A001B002C003D004
15:18:29.1173,,8,A001B002C003D004
15:18:29.4292,,9,A001B002C003D004
15:18:29.7451,,9,A001B002C003D004
15:18:30.0557,壓力到達,10,A001B002C003D004
15:18:30.3684,,11,A001B002C003D004
15:18:30.6820,,11,A001B002C003D004
15:18:30.9926,,12,A001B002C003D004
15:18:31.3073,,13,A001B002C003D004
15:18:31.6177,,13,A001B002C003D004
15:18:31.9317,,14,A001B002C003D004
15:18:32.2432,,14,A001B002C003D004
15:18:32.5555,,13,A001B002C003D004
15:18:32.8674,,12,A001B002C003D004
15:18:33.1811,,12,A001B002C003D004
15:18:33.4922,,13,A001B002C003D004
15:18:33.8061,,12,A001B002C003D004
15:18:34.1172,,12,A001B002C003D004
15:18:34.4297,,13,A001B002C003D004
15:18:34.7454,,13,A001B002C003D004
15:18:35.0569,,12,A001B002C003D004
15:18:35.3680,,11,A001B002C003D004
15:18:35.6829,,11,A001B002C003D004
15:18:35.9922,,12,A001B002C003D004
15:18:36.3070,,11,A001B002C003D004
15:18:36.6183,,11,A001B002C003D004
15:18:36.9291,,12,A001B002C003D004
15:18:37.2451,,12,A001B002C003D004
15:18:37.5565,,13,A001B002C003D004
15:18:37.8686,,12,A001B002C003D004
15:18:38.1796,保壓時間到達,12,A001B002C003D004
15:18:38.4946,,13,A001B002C003D004
15:18:38.8068,,14,A001B002C003D004
15:18:39.1180,,14,A001B002C003D004
15:18:39.4294,,13,A001B002C003D004
15:18:39.7447,,13,A001B002C003D004
15:18:40.0560,,12,A001B002C003D004
15:18:40.3685,,11,A001B002C003D004
15:18:40.6806,,11,A001B002C003D004
15:18:40.9917,,10,A001B002C003D004
15:18:41.3059,,9,A001B002C003D004
15:18:41.6175,,9,A001B002C003D004
15:18:41.9321,,8,A001B002C003D004
15:18:42.2430,,8,A001B002C003D004
15:18:42.5541,,7,A001B002C003D004
15:18:42.8692,,6,A001B002C003D004
15:18:43.1809,,6,A001B002C003D004
15:18:43.4919,,5,A001B002C003D004
15:18:43.8079,,4,A001B002C003D004
15:18:44.1197,,4,A001B002C003D004
15:18:44.4318,,3,A001B002C003D004
15:18:44.7438,,3,A001B002C003D004
15:18:45.0552,,2,A001B002C003D004
15:18:45.3671,,1,A001B002C003D004
15:18:45.6821,,1,A001B002C003D004
15:18:45.9946,壓合已結束,0,A001B002C003D004
