時間,邏輯點,模塊01,二維碼
15:25:31.7019,,-2,A001B002C003D004
15:25:32.0089,,-3,A001B002C003D004
15:25:32.3237,,-2,A001B002C003D004
15:25:32.6348,,-2,A001B002C003D004
15:25:32.9450,,-1,A001B002C003D004
15:25:33.2602,,0,A001B002C003D004
15:25:33.5736,,0,A001B002C003D004
15:25:33.8852,壓合開始,1,A001B002C003D004
15:25:34.1952,,1,A001B002C003D004
15:25:34.5082,,2,A001B002C003D004
15:25:34.8226,,3,A001B002C003D004
15:25:35.1355,,3,A001B002C003D004
15:25:35.4496,,4,A001B002C003D004
15:25:35.7575,,4,A001B002C003D004
15:25:36.0733,,5,A001B002C003D004
15:25:36.3849,,6,A001B002C003D004
15:25:36.6956,,6,A001B002C003D004
15:25:37.0076,,7,A001B002C003D004
15:25:37.3226,,8,A001B002C003D004
15:25:37.6356,,8,A001B002C003D004
15:25:37.9448,,9,A001B002C003D004
15:25:38.2577,,9,A001B002C003D004
15:25:38.5711,壓力到達,10,A001B002C003D004
15:25:38.8823,,11,A001B002C003D004
15:25:39.1963,,11,A001B002C003D004
15:25:39.5076,,12,A001B002C003D004
15:25:39.8220,,11,A001B002C003D004
15:25:40.1334,,11,A001B002C003D004
15:25:40.4482,,12,A001B002C003D004
15:25:40.7600,,12,A001B002C003D004
15:25:41.0700,,11,A001B002C003D004
15:25:41.3839,,12,A001B002C003D004
15:25:41.6990,,12,A001B002C003D004
15:25:42.0073,,11,A001B002C003D004
15:25:42.3233,,12,A001B002C003D004
15:25:42.6323,,12,A001B002C003D004
15:25:42.9473,,13,A001B002C003D004
15:25:43.2598,,12,A001B002C003D004
15:25:43.5702,,12,A001B002C003D004
15:25:43.8850,,13,A001B002C003D004
15:25:44.1986,,13,A001B002C003D004
15:25:44.5103,,12,A001B002C003D004
15:25:44.8217,,11,A001B002C003D004
15:25:45.1334,,11,A001B002C003D004
15:25:45.4491,,10,A001B002C003D004
15:25:45.7602,,10,A001B002C003D004
15:25:46.0698,,11,A001B002C003D004
15:25:46.3823,,10,A001B002C003D004
15:25:46.6970,保壓時間到達,10,A001B002C003D004
15:25:47.0091,,9,A001B002C003D004
15:25:47.3243,,8,A001B002C003D004
15:25:47.6348,,8,A001B002C003D004
15:25:47.9460,,7,A001B002C003D004
15:25:48.2599,,7,A001B002C003D004
15:25:48.5703,,6,A001B002C003D004
15:25:48.8852,,5,A001B002C003D004
15:25:49.1952,,5,A001B002C003D004
15:25:49.5107,,4,A001B002C003D004
15:25:49.8204,,3,A001B002C003D004
15:25:50.1350,,3,A001B002C003D004
15:25:50.4482,,2,A001B002C003D004
15:25:50.7606,,2,A001B002C003D004
15:25:51.0698,,1,A001B002C003D004
15:25:51.3830,壓合已結束,0,A001B002C003D004
