時間,邏輯點,模塊01,二維碼
15:16:43.9537,,-2,A001B002C003D004
15:16:44.2628,,-3,A001B002C003D004
15:16:44.5759,,-2,A001B002C003D004
15:16:44.8852,,-2,A001B002C003D004
15:16:45.1950,,-1,A001B002C003D004
15:16:45.5075,,0,A001B002C003D004
15:16:45.8220,,0,A001B002C003D004
15:16:46.1336,壓合開始,1,A001B002C003D004
15:16:46.4491,,1,A001B002C003D004
15:16:46.7611,,2,A001B002C003D004
15:16:47.0712,,3,A001B002C003D004
15:16:47.3832,,3,A001B002C003D004
15:16:47.6971,,2,A001B002C003D004
15:16:48.0095,,3,A001B002C003D004
15:16:48.3238,,3,A001B002C003D004
15:16:48.6323,,2,A001B002C003D004
15:16:48.9482,,2,A001B002C003D004
15:16:49.2576,,3,A001B002C003D004
15:16:49.5720,,2,A001B002C003D004
15:16:49.8835,,2,A001B002C003D004
15:16:50.1986,,3,A001B002C003D004
15:16:50.5107,,4,A001B002C003D004
15:16:50.8216,,4,A001B002C003D004
15:16:51.1331,,3,A001B002C003D004
15:16:51.4487,,3,A001B002C003D004
15:16:51.7573,,4,A001B002C003D004
15:16:52.0717,,3,A001B002C003D004
15:16:52.3826,,3,A001B002C003D004
15:16:52.6977,,4,A001B002C003D004
15:16:53.0095,,5,A001B002C003D004
15:16:53.3233,,5,A001B002C003D004
15:16:53.6347,,6,A001B002C003D004
15:16:53.9451,,6,A001B002C003D004
15:16:54.2600,,7,A001B002C003D004
15:16:54.5709,,8,A001B002C003D004
15:16:54.8833,,8,A001B002C003D004
15:16:55.1967,,9,A001B002C003D004
15:16:55.5090,壓力到達,10,A001B002C003D004
15:16:55.8234,,10,A001B002C003D004
15:16:56.1346,,11,A001B002C003D004
15:16:56.4490,,11,A001B002C003D004
15:16:56.7576,,12,A001B002C003D004
15:16:57.0724,,11,A001B002C003D004
15:16:57.3839,,11,A001B002C003D004
15:16:57.6970,,12,A001B002C003D004
15:16:58.0083,,11,A001B002C003D004
15:16:58.3218,,11,A001B002C003D004
15:16:58.6326,,12,A001B002C003D004
15:16:58.9471,,12,A001B002C003D004
15:16:59.2592,,13,A001B002C003D004
15:16:59.5728,,12,A001B002C003D004
15:16:59.8837,,12,A001B002C003D004
15:17:00.1983,,13,A001B002C003D004
15:17:00.5074,,13,A001B002C003D004
15:17:00.8212,,12,A001B002C003D004
15:17:01.1352,,13,A001B002C003D004
15:17:01.4456,,13,A001B002C003D004
15:17:01.7580,,12,A001B002C003D004
15:17:02.0740,,13,A001B002C003D004
15:17:02.3833,,13,A001B002C003D004
15:17:02.6988,,12,A001B002C003D004
15:17:03.0105,,11,A001B002C003D004
15:17:03.3216,,11,A001B002C003D004
15:17:03.6337,保壓時間到達,12,A001B002C003D004
15:17:03.9480,,12,A001B002C003D004
15:17:04.2601,,11,A001B002C003D004
15:17:04.5708,,10,A001B002C003D004
15:17:04.8838,,10,A001B002C003D004
15:17:05.1983,,9,A001B002C003D004
15:17:05.5090,,8,A001B002C003D004
15:17:05.8239,,8,A001B002C003D004
15:17:06.1323,,7,A001B002C003D004
15:17:06.4467,,7,A001B002C003D004
15:17:06.7606,,6,A001B002C003D004
15:17:07.0710,,5,A001B002C003D004
15:17:07.3822,,5,A001B002C003D004
15:17:07.6963,,4,A001B002C003D004
15:17:08.0074,,3,A001B002C003D004
15:17:08.3221,,3,A001B002C003D004
15:17:08.6330,,2,A001B002C003D004
15:17:08.9480,,2,A001B002C003D004
15:17:09.2600,,1,A001B002C003D004
15:17:09.5738,壓合已結束,0,A001B002C003D004
