時間,邏輯點,模塊01,二維碼
16:53:44.2933,,0,A001B002C003D004
16:53:44.4576,壓合開始,1,A001B002C003D004
16:53:44.7695,,1,A001B002C003D004
16:53:45.2385,,2,A001B002C003D004
16:53:45.5486,,3,A001B002C003D004
16:53:45.7159,,3,A001B002C003D004
16:53:46.0276,,4,A001B002C003D004
16:53:46.4950,,5,A001B002C003D004
16:53:46.8072,,5,A001B002C003D004
16:53:46.9780,,6,A001B002C003D004
16:53:47.2882,,6,A001B002C003D004
16:53:47.7546,,7,A001B002C003D004
16:53:48.0659,,8,A001B002C003D004
16:53:48.2341,,8,A001B002C003D004
16:53:48.5452,,9,A001B002C003D004
16:53:49.0140,壓力到達,10,A001B002C003D004
16:53:49.3282,,10,A001B002C003D004
16:53:49.4964,,10,A001B002C003D004
16:53:49.8074,,10,A001B002C003D004
16:53:50.2749,,10,A001B002C003D004
16:53:50.5858,,10,A001B002C003D004
16:53:50.7521,,10,A001B002C003D004
16:53:51.0665,,10,A001B002C003D004
16:53:51.5349,,10,A001B002C003D004
16:53:51.8458,,10,A001B002C003D004
16:53:52.0123,,10,A001B002C003D004
16:53:52.3262,,10,A001B002C003D004
16:53:52.4947,,10,A001B002C003D004
16:53:52.8050,,10,A001B002C003D004
16:53:53.2710,,10,A001B002C003D004
16:53:53.5847,,10,A001B002C003D004
16:53:53.7519,,10,A001B002C003D004
16:53:54.0637,,10,A001B002C003D004
16:53:54.5333,,10,A001B002C003D004
16:53:54.8426,,10,A001B002C003D004
16:53:55.0136,,10,A001B002C003D004
16:53:55.3251,,10,A001B002C003D004
16:53:55.7923,,10,A001B002C003D004
16:53:56.1046,,10,A001B002C003D004
16:53:56.2711,,10,A001B002C003D004
16:53:56.5824,,10,A001B002C003D004
16:53:57.0504,保壓時間到達,10,A001B002C003D004
16:53:57.3615,,10,A001B002C003D004
16:53:57.5326,,10,A001B002C003D004
16:53:57.8445,,10,A001B002C003D004
16:53:58.3099,,9,A001B002C003D004
16:53:58.6221,,8,A001B002C003D004
16:53:58.7907,,8,A001B002C003D004
16:53:59.1021,,7,A001B002C003D004
16:53:59.5710,,6,A001B002C003D004
16:53:59.8814,,6,A001B002C003D004
16:54:00.0488,,5,A001B002C003D004
16:54:00.3606,,5,A001B002C003D004
16:54:00.8306,,4,A001B002C003D004
16:54:01.1415,,3,A001B002C003D004
16:54:01.3085,,3,A001B002C003D004
16:54:01.6212,,2,A001B002C003D004
16:54:02.0887,,1,A001B002C003D004
16:54:02.3996,,1,A001B002C003D004
16:54:02.5691,壓合已結束,0,A001B002C003D004
