時間,邏輯點,模塊01,二維碼
16:36:09.8113,,0,A001B002C003D004
16:36:10.1171,,0,A001B002C003D004
16:36:10.5840,,0,A001B002C003D004
16:36:10.9013,,0,A001B002C003D004
16:36:11.0637,,0,A001B002C003D004
16:36:11.3810,壓合開始,1,A001B002C003D004
16:36:11.8441,,2,A001B002C003D004
16:36:12.1545,,3,A001B002C003D004
16:36:12.3236,,3,A001B002C003D004
16:36:12.6352,,4,A001B002C003D004
16:36:13.1044,,4,A001B002C003D004
16:36:13.4173,,5,A001B002C003D004
16:36:13.5829,,5,A001B002C003D004
16:36:13.8944,,6,A001B002C003D004
16:36:14.3625,,7,A001B002C003D004
16:36:14.6743,,8,A001B002C003D004
16:36:14.8454,,8,A001B002C003D004
16:36:15.1570,,9,A001B002C003D004
16:36:15.6250,,9,A001B002C003D004
16:36:15.9355,壓力到達,10,A001B002C003D004
16:36:16.1043,,10,A001B002C003D004
16:36:16.4153,,10,A001B002C003D004
16:36:16.8818,,10,A001B002C003D004
16:36:17.1934,,10,A001B002C003D004
16:36:17.3616,,10,A001B002C003D004
16:36:17.6724,,10,A001B002C003D004
16:36:18.1438,,10,A001B002C003D004
16:36:18.4547,,10,A001B002C003D004
16:36:18.6211,,10,A001B002C003D004
16:36:18.9350,,10,A001B002C003D004
16:36:19.4027,,10,A001B002C003D004
16:36:19.7134,,10,A001B002C003D004
16:36:19.8820,,10,A001B002C003D004
16:36:20.1933,,10,A001B002C003D004
16:36:20.6616,,10,A001B002C003D004
16:36:20.9729,,10,A001B002C003D004
16:36:21.1420,,10,A001B002C003D004
16:36:21.4523,,10,A001B002C003D004
16:36:21.9200,,10,A001B002C003D004
16:36:22.2336,,10,A001B002C003D004
16:36:22.4001,,10,A001B002C003D004
16:36:22.7136,,10,A001B002C003D004
16:36:23.1817,,10,A001B002C003D004
16:36:23.4932,,10,A001B002C003D004
16:36:23.6607,,10,A001B002C003D004
16:36:23.9721,保壓時間到達,10,A001B002C003D004
16:36:24.4386,,10,A001B002C003D004
16:36:24.7501,,10,A001B002C003D004
16:36:24.9179,,10,A001B002C003D004
16:36:25.2301,,10,A001B002C003D004
16:36:25.6997,,9,A001B002C003D004
16:36:26.0109,,9,A001B002C003D004
16:36:26.1775,,8,A001B002C003D004
16:36:26.4884,,8,A001B002C003D004
16:36:26.9569,,7,A001B002C003D004
16:36:27.2716,,6,A001B002C003D004
16:36:27.4402,,6,A001B002C003D004
16:36:27.7508,,5,A001B002C003D004
16:36:27.9179,,5,A001B002C003D004
16:36:28.2287,,4,A001B002C003D004
16:36:28.6985,,3,A001B002C003D004
16:36:29.0092,,3,A001B002C003D004
16:36:29.1794,,2,A001B002C003D004
16:36:29.4901,,2,A001B002C003D004
16:36:29.9584,,1,A001B002C003D004
16:36:30.2703,壓合已結束,0,A001B002C003D004
