??,???,模?01,二??
14:14:49.8440,,-2,A001B002C003D004
14:14:50.1514,,-1,A001B002C003D004
14:14:50.4654,,0,A001B002C003D004
14:14:50.7760,,0,A001B002C003D004
14:14:51.0889,?合?始,1,A001B002C003D004
14:14:51.3981,,1,A001B002C003D004
14:14:51.7138,,2,A001B002C003D004
14:14:52.0268,,3,A001B002C003D004
14:14:52.3357,,3,A001B002C003D004
14:14:52.6511,,4,A001B002C003D004
14:14:52.9623,,5,A001B002C003D004
14:14:53.2746,,5,A001B002C003D004
14:14:53.5856,,6,A001B002C003D004
14:14:53.9000,,6,A001B002C003D004
14:14:54.2130,,7,A001B002C003D004
14:14:54.5244,,8,A001B002C003D004
14:14:54.8389,,8,A001B002C003D004
14:14:55.1512,,9,A001B002C003D004
14:14:55.4628,?力到?,10,A001B002C003D004
14:14:55.7740,,10,A001B002C003D004
14:14:56.0878,,11,A001B002C003D004
14:14:56.3999,,11,A001B002C003D004
14:14:56.7124,,12,A001B002C003D004
14:14:57.0252,,11,A001B002C003D004
14:14:57.3368,,11,A001B002C003D004
14:14:57.6496,,12,A001B002C003D004
14:14:57.9621,,11,A001B002C003D004
14:14:58.2745,,11,A001B002C003D004
14:14:58.5866,,12,A001B002C003D004
14:14:58.8988,,12,A001B002C003D004
14:14:59.2131,,13,A001B002C003D004
14:14:59.5243,,14,A001B002C003D004
14:14:59.8367,,14,A001B002C003D004
14:15:00.1494,,15,A001B002C003D004
14:15:00.4620,,14,A001B002C003D004
14:15:00.7742,,14,A001B002C003D004
14:15:01.0858,,15,A001B002C003D004
14:15:01.3980,,15,A001B002C003D004
14:15:01.7141,,14,A001B002C003D004
14:15:02.0263,,13,A001B002C003D004
14:15:02.3378,,13,A001B002C003D004
14:15:02.6504,,12,A001B002C003D004
14:15:02.9626,,13,A001B002C003D004
14:15:03.2735,,13,A001B002C003D004
14:15:03.5878,保???到?,12,A001B002C003D004
14:15:03.8984,,12,A001B002C003D004
14:15:04.2134,,11,A001B002C003D004
14:15:04.5251,,10,A001B002C003D004
14:15:04.8371,,10,A001B002C003D004
14:15:05.1498,,9,A001B002C003D004
14:15:05.4606,,8,A001B002C003D004
14:15:05.7729,,8,A001B002C003D004
14:15:06.0873,,7,A001B002C003D004
14:15:06.3981,,7,A001B002C003D004
14:15:06.7123,,6,A001B002C003D004
14:15:07.0233,,5,A001B002C003D004
14:15:07.3353,,5,A001B002C003D004
14:15:07.6514,,4,A001B002C003D004
14:15:07.9609,,3,A001B002C003D004
14:15:08.2734,,3,A001B002C003D004
14:15:08.5883,,2,A001B002C003D004
14:15:08.8998,,2,A001B002C003D004
14:15:09.2114,,1,A001B002C003D004
