時間,邏輯點,模塊01,二維碼
15:15:32.4524,,-2,A001B002C003D004
15:15:32.7580,,-1,A001B002C003D004
15:15:33.0716,,0,A001B002C003D004
15:15:33.3824,,0,A001B002C003D004
15:15:33.6974,壓合開始,1,A001B002C003D004
15:15:34.0106,,1,A001B002C003D004
15:15:34.3212,,2,A001B002C003D004
15:15:34.6336,,3,A001B002C003D004
15:15:34.9449,,3,A001B002C003D004
15:15:35.2607,,4,A001B002C003D004
15:15:35.5700,,5,A001B002C003D004
15:15:35.8853,,5,A001B002C003D004
15:15:36.1996,,6,A001B002C003D004
15:15:36.5093,,6,A001B002C003D004
15:15:36.8241,,7,A001B002C003D004
15:15:37.1353,,8,A001B002C003D004
15:15:37.4454,,8,A001B002C003D004
15:15:37.7576,,9,A001B002C003D004
15:15:38.0714,壓力到達,10,A001B002C003D004
15:15:38.3829,,10,A001B002C003D004
15:15:38.6978,,11,A001B002C003D004
15:15:39.0086,,11,A001B002C003D004
15:15:39.3234,,10,A001B002C003D004
15:15:39.6343,,11,A001B002C003D004
15:15:39.9450,,11,A001B002C003D004
15:15:40.2598,,10,A001B002C003D004
15:15:40.5732,,11,A001B002C003D004
15:15:40.8843,,11,A001B002C003D004
15:15:41.1981,,10,A001B002C003D004
15:15:41.5099,,10,A001B002C003D004
15:15:41.8245,,11,A001B002C003D004
15:15:42.1330,,10,A001B002C003D004
15:15:42.4484,,10,A001B002C003D004
15:15:42.7601,,9,A001B002C003D004
15:15:43.0721,,10,A001B002C003D004
15:15:43.3845,,10,A001B002C003D004
15:15:43.6983,,9,A001B002C003D004
15:15:44.0098,,9,A001B002C003D004
15:15:44.3234,,10,A001B002C003D004
15:15:44.6354,,9,A001B002C003D004
15:15:44.9460,,9,A001B002C003D004
15:15:45.2587,,8,A001B002C003D004
15:15:45.5732,,9,A001B002C003D004
15:15:45.8841,,9,A001B002C003D004
15:15:46.1981,保壓時間到達,8,A001B002C003D004
15:15:46.5108,,8,A001B002C003D004
15:15:46.8203,,9,A001B002C003D004
15:15:47.1328,,8,A001B002C003D004
15:15:47.4488,,8,A001B002C003D004
15:15:47.7580,,7,A001B002C003D004
15:15:48.0740,,6,A001B002C003D004
15:15:48.3824,,6,A001B002C003D004
15:15:48.6960,,5,A001B002C003D004
15:15:49.0079,,5,A001B002C003D004
15:15:49.3216,,4,A001B002C003D004
15:15:49.6340,,3,A001B002C003D004
15:15:49.9453,,3,A001B002C003D004
15:15:50.2589,,2,A001B002C003D004
15:15:50.5734,,1,A001B002C003D004
15:15:50.8854,,1,A001B002C003D004
15:15:51.1957,壓合已結束,0,A001B002C003D004
