時間,邏輯點,模塊01,二維碼
10:46:49.0262,,0,A001B002C003D004
10:46:49.3315,,0,A001B002C003D004
10:46:49.6432,,0,A001B002C003D004
10:46:49.9561,,0,A001B002C003D004
10:46:50.2691,,0,A001B002C003D004
10:46:50.5802,壓合開始,1,A001B002C003D004
10:46:50.8926,,1,A001B002C003D004
10:46:51.2064,,2,A001B002C003D004
10:46:51.5172,,3,A001B002C003D004
10:46:51.8292,,3,A001B002C003D004
10:46:52.1442,,4,A001B002C003D004
10:46:52.4569,,4,A001B002C003D004
10:46:52.7684,,5,A001B002C003D004
10:46:53.0793,,6,A001B002C003D004
10:46:53.3957,,6,A001B002C003D004
10:46:53.7077,,7,A001B002C003D004
10:46:54.0200,,8,A001B002C003D004
10:46:54.3314,,8,A001B002C003D004
10:46:54.6428,,9,A001B002C003D004
10:46:54.9549,,9,A001B002C003D004
10:46:55.2666,壓力到達,10,A001B002C003D004
10:46:55.5795,,10,A001B002C003D004
10:46:55.8941,,10,A001B002C003D004
10:46:56.2051,,10,A001B002C003D004
10:46:56.5181,,10,A001B002C003D004
10:46:56.8305,,10,A001B002C003D004
10:46:57.1417,,10,A001B002C003D004
10:46:57.4576,,10,A001B002C003D004
10:46:57.7667,,10,A001B002C003D004
10:46:58.0822,,10,A001B002C003D004
10:46:58.3936,,10,A001B002C003D004
10:46:58.7053,,10,A001B002C003D004
10:46:59.0174,,10,A001B002C003D004
10:46:59.3291,,10,A001B002C003D004
10:46:59.6445,,10,A001B002C003D004
10:46:59.9570,,10,A001B002C003D004
10:47:00.2685,,10,A001B002C003D004
10:47:00.5820,,10,A001B002C003D004
10:47:00.8917,,10,A001B002C003D004
10:47:01.2072,,10,A001B002C003D004
10:47:01.5181,,10,A001B002C003D004
10:47:01.8308,,10,A001B002C003D004
10:47:02.1427,,10,A001B002C003D004
10:47:02.4574,,10,A001B002C003D004
10:47:02.7683,,10,A001B002C003D004
10:47:03.0808,,10,A001B002C003D004
10:47:03.3935,保壓時間到達,10,A001B002C003D004
10:47:03.7060,,10,A001B002C003D004
10:47:04.0181,,10,A001B002C003D004
10:47:04.3318,,10,A001B002C003D004
10:47:04.6417,,9,A001B002C003D004
10:47:04.9543,,9,A001B002C003D004
10:47:05.2695,,8,A001B002C003D004
10:47:05.5807,,7,A001B002C003D004
10:47:05.8930,,7,A001B002C003D004
10:47:06.2073,,6,A001B002C003D004
10:47:06.5175,,5,A001B002C003D004
10:47:06.8314,,5,A001B002C003D004
10:47:07.1421,,4,A001B002C003D004
10:47:07.4543,,4,A001B002C003D004
10:47:07.7691,,3,A001B002C003D004
10:47:08.0798,,2,A001B002C003D004
10:47:08.3921,,2,A001B002C003D004
10:47:08.7045,,1,A001B002C003D004
10:47:09.0169,壓合已結束,0,A001B002C003D004
